a35f06db-418d-4bec-83d8-3c9dd4eae308	NULL	a35f06db-418d-4bec-83d8-3c9dd4eae308	ip-10-129-3-113.eu-central-1.compute.internal:7155	2025-05-12T03:30:29.826Z	2025-05-12T03:30:29.826Z	[ISC.0049.9031] Global Variable countryName does not exist.	com.wm.lang.flow.FlowException: [ISC.0049.9031] Global Variable countryName does not exist.
	at com.wm.lang.flow.FlowExit.createFailureFromExitInfo(FlowExit.java:490)
	at com.wm.lang.flow.FlowState.willHandleExit(FlowState.java:316)
	at com.wm.lang.flow.FlowSequence.invoke(FlowSequence.java:464)
	at com.wm.lang.flow.FlowState.invokeNode(FlowState.java:662)
	at com.wm.lang.flow.FlowState.step(FlowState.java:527)
	at com.wm.lang.flow.FlowState.invoke(FlowState.java:494)
	at com.wm.app.b2b.server.FlowSvcImpl.baseInvoke(FlowSvcImpl.java:1150)
	at com.wm.app.b2b.server.invoke.InvokeManager.process(InvokeManager.java:759)
	at com.wm.app.b2b.server.util.tspace.ReservationProcessor.process(ReservationProcessor.java:39)
	at com.wm.app.b2b.server.invoke.StatisticsProcessor.process(StatisticsProcessor.java:53)
	at com.wm.app.b2b.server.invoke.ServiceCompletionImpl.process(ServiceCompletionImpl.java:243)
	at com.wm.app.b2b.server.invoke.ValidateProcessor.process(ValidateProcessor.java:49)
	at com.wm.app.b2b.server.invoke.PipelineProcessor.process(PipelineProcessor.java:171)
	at com.wm.app.b2b.server.ACLManager.process(ACLManager.java:336)
	at com.wm.app.b2b.server.invoke.DispatchProcessor.process(DispatchProcessor.java:33)
	at com.wm.app.b2b.server.AuditLogManager.process(AuditLogManager.java:399)
	at com.wm.app.b2b.server.invoke.InvokeManager.invoke(InvokeManager.java:629)
	at com.wm.app.b2b.server.invoke.InvokeManager.invoke(InvokeManager.java:434)
	at com.wm.app.b2b.server.invoke.InvokeManager.invoke(InvokeManager.java:392)
	at com.wm.app.b2b.server.HTTPInvokeHandler._process(HTTPInvokeHandler.java:301)
	at com.wm.app.b2b.server.RESTHandlerV2.process(RESTHandlerV2.java:144)
	at com.wm.app.b2b.server.RADHandler.process(RADHandler.java:76)
	at com.softwareag.is.rest.RestHandlerFactory.process(RestHandlerFactory.java:44)
	at com.wm.app.b2b.server.HTTPDispatch.handleRequest(HTTPDispatch.java:218)
	at com.wm.app.b2b.server.Dispatch.run(Dispatch.java:390)
	at com.wm.util.pool.PooledThread.run(PooledThread.java:127)
	at java.base/java.lang.Thread.run(Thread.java:829)	MCUMConsumer.services:startCellulantUSSDSession	MCUMConsumer.services:startCellulantUSSDSession(/1/4)
524a0fd0-16e7-4585-9ba0-e07e7438b96a	a0b85a62-03cd-4632-8d28-1cf0725a94f5	be4e886a-4d79-41bd-bd29-f60104fa4abf	ip-10-129-3-113.eu-central-1.compute.internal:7155	2025-05-12T03:36:03.295Z	2025-05-12T03:36:03.295Z	Column 'MessageType' cannot be null	java.sql.SQLIntegrityConstraintViolationException: Column 'MessageType' cannot be null
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeInternal(ClientPreparedStatement.java:916)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1061)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1009)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeLargeUpdate(ClientPreparedStatement.java:1320)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdate(ClientPreparedStatement.java:994)
	at com.wm.adapter.wmjdbc.services.UpdateOperation.execute(UpdateOperation.java:119)
	at com.wm.adk.cci.interaction.WmInteraction.execute(WmInteraction.java:76)
	at com.wm.pkg.art.ns.AdapterServiceNode.invokeService(AdapterServiceNode.java:396)
	at com.wm.pkg.art.ns.ARTNSService.baseInvoke(ARTNSService.java:62)
